Unique_ID,CloneLine,GS,boxID,age,tray,WID,D_DAY,corr_last_frame_present,died,N_OV,diedBCphase,EYES,coVDBF,H,DTA,DBF,RMSD,
B12_4OB,B,12,B12_4,1,NA,OB,NA,lastframe,0,NA,0,NA,0.87,5.64,18.06,10.31,15.24,
B12_4OO,B,12,B12_4,1,NA,OO,NA,lastframe,0,NA,0,NA,0.94,5.63,17.56,9.36,15.01,
B12_4OP,B,12,B12_4,1,NA,OP,NA,lastframe,0,NA,0,NA,0.90,5.67,18.81,10.69,16.16,
B12_4PG,B,12,B12_4,1,NA,PG,NA,lastframe,0,NA,0,NA,0.93,5.47,17.20,8.57,13.42,
B12_4PO,B,12,B12_4,1,NA,PO,NA,lastframe,0,NA,0,NA,0.95,5.70,18.23,10.07,15.76,
B12_4PP,B,12,B12_4,1,NA,PP,NA,lastframe,0,NA,0,NA,1.05,5.33,17.00,7.16,13.53,
B12_5BB,B,12,B12_5,1,NA,BB,NA,lastframe,0,NA,0,NA,0.90,5.39,17.32,9.89,14.48,
B12_5BO,B,12,B12_5,1,NA,BO,NA,lastframe,0,NA,0,NA,0.84,5.58,17.94,12.01,15.82,
B12_5BP,B,12,B12_5,1,NA,BP,NA,lastframe,0,NA,0,NA,0.80,5.49,17.85,10.98,15.93,
B12_5GB,B,12,B12_5,1,NA,GB,NA,lastframe,0,NA,0,NA,0.86,5.54,17.56,10.61,15.53,
B12_5GG,B,12,B12_5,1,NA,GG,NA,lastframe,0,NA,0,NA,0.89,5.45,17.83,10.56,15.42,
B12_5GO,B,12,B12_5,1,NA,GO,NA,lastframe,0,NA,0,NA,0.85,5.47,17.45,10.55,15.15,
B12_5GP,B,12,B12_5,1,NA,GP,NA,lastframe,0,NA,0,NA,0.86,5.54,18.27,11.39,16.08,
B12_5OG,B,12,B12_5,1,NA,OG,NA,lastframe,0,NA,0,NA,0.93,5.47,17.58,9.65,16.00,
B12_5OO,B,12,B12_5,1,NA,OO,NA,lastframe,0,NA,0,NA,0.85,5.41,17.36,10.61,14.53,
B12_5OP,B,12,B12_5,1,NA,OP,NA,lastframe,0,NA,0,NA,0.85,5.59,18.82,11.99,17.36,
B12_5PB,B,12,B12_5,1,NA,PB,NA,lastframe,0,NA,0,NA,0.78,5.70,19.01,12.50,16.61,
B12_5PP,B,12,B12_5,1,NA,PP,NA,lastframe,0,NA,0,NA,0.90,5.40,17.36,10.18,15.19,
B12_6BB,B,12,B12_6,1,NA,BB,6,474,1,NA,1,NA,0.93,5.25,25.99,13.91,21.99,
B12_6BG,B,12,B12_6,1,NA,BG,NA,lastframe,0,NA,0,NA,0.95,5.62,18.41,10.05,15.76,
B12_6BO,B,12,B12_6,1,NA,BO,NA,lastframe,0,NA,0,NA,0.85,5.58,19.34,12.33,16.82,
B12_6BP,B,12,B12_6,1,NA,BP,NA,lastframe,0,NA,0,NA,0.95,5.62,19.33,11.15,16.79,
B12_6GG,B,12,B12_6,1,NA,GG,NA,lastframe,0,NA,0,NA,0.98,5.71,19.23,11.04,16.53,
B12_6GP,B,12,B12_6,1,NA,GP,NA,lastframe,0,NA,0,NA,0.92,5.73,19.38,11.49,16.44,
B12_6OB,B,12,B12_6,1,NA,OB,NA,lastframe,0,NA,0,NA,0.91,5.59,18.47,10.43,15.65,
B12_6OG,B,12,B12_6,1,NA,OG,NA,lastframe,0,NA,0,NA,0.95,5.60,18.36,10.19,15.48,
B12_6OO,B,12,B12_6,1,NA,OO,NA,lastframe,0,NA,0,NA,1.02,5.34,17.85,9.94,15.78,
B12_6PB,B,12,B12_6,1,NA,PB,NA,lastframe,0,NA,0,NA,0.93,5.56,19.14,11.16,16.28,
B12_6PO,B,12,B12_6,1,NA,PO,NA,lastframe,0,NA,0,NA,0.94,5.57,18.51,10.64,15.76,
B12_6PP,B,12,B12_6,1,NA,PP,NA,lastframe,0,NA,0,NA,0.84,5.65,19.84,12.51,17.08,
B12_7BB,B,12,B12_7,1,NA,BB,NA,lastframe,0,NA,0,NA,0.88,5.52,18.54,11.50,15.83,
B12_7BG,B,12,B12_7,1,NA,BG,NA,lastframe,0,NA,0,NA,1.01,5.41,19.23,9.95,16.27,
B12_7BP,B,12,B12_7,1,NA,BP,NA,lastframe,0,NA,0,NA,0.96,5.38,17.07,9.76,14.38,
B12_7GB,B,12,B12_7,1,NA,GB,NA,lastframe,0,NA,0,NA,0.89,5.42,17.23,10.17,14.45,
B12_7GG,B,12,B12_7,1,NA,GG,NA,lastframe,0,NA,0,NA,0.90,5.50,17.54,10.48,14.74,
B12_7GO,B,12,B12_7,1,NA,GO,NA,lastframe,0,NA,0,NA,0.91,5.54,17.84,11.42,15.68,
B12_7OB,B,12,B12_7,1,NA,OB,NA,lastframe,0,NA,0,NA,0.92,5.47,17.50,9.68,14.72,
B12_7OO,B,12,B12_7,1,NA,OO,15,1977,1,NA,0,NA,0.96,5.42,17.56,9.68,15.24,
B12_7OP,B,12,B12_7,1,NA,OP,NA,lastframe,0,NA,0,NA,0.92,5.37,17.28,9.81,14.60,
B12_7PG,B,12,B12_7,1,NA,PG,NA,lastframe,0,NA,0,NA,0.93,5.50,18.40,11.27,15.72,
B12_7PO,B,12,B12_7,1,NA,PO,NA,lastframe,0,NA,0,NA,0.90,5.37,18.28,10.83,15.88,
B12_7PP,B,12,B12_7,1,NA,PP,NA,lastframe,0,NA,0,NA,0.92,5.45,17.83,11.43,15.76,
B12_8BB,B,12,B12_8,1,NA,BB,NA,lastframe,0,NA,0,NA,1.00,5.40,15.34,9.21,13.61,
B12_8BO,B,12,B12_8,1,NA,BO,NA,lastframe,0,NA,0,NA,0.91,5.40,15.89,9.40,13.97,
B12_8BP,B,12,B12_8,1,NA,BP,NA,lastframe,0,NA,0,NA,0.91,5.50,15.85,9.45,14.14,
B12_8GB,B,12,B12_8,1,NA,GB,NA,lastframe,0,NA,0,NA,0.83,5.65,20.15,13.61,17.81,
B12_8GG,B,12,B12_8,1,NA,GG,NA,lastframe,0,NA,0,NA,0.99,5.40,15.86,9.45,14.10,
B12_8GO,B,12,B12_8,1,NA,GO,NA,lastframe,0,NA,0,NA,0.92,5.52,15.61,9.32,14.00,
B12_8GP,B,12,B12_8,1,NA,GP,NA,lastframe,0,NA,0,NA,0.97,5.42,15.22,8.73,13.87,
B12_8OG,B,12,B12_8,1,NA,OG,NA,lastframe,0,NA,0,NA,0.94,5.58,16.56,10.43,14.92,
B12_8OO,B,12,B12_8,1,NA,OO,NA,lastframe,0,NA,0,NA,0.95,5.37,15.40,9.45,14.01,
B12_8OP,B,12,B12_8,1,NA,OP,NA,lastframe,0,NA,0,NA,0.93,5.40,15.01,7.94,13.46,
B12_8PB,B,12,B12_8,1,NA,PB,NA,lastframe,0,NA,0,NA,0.95,5.39,15.81,9.40,13.53,
B12_8PP,B,12,B12_8,1,NA,PP,NA,lastframe,0,NA,0,NA,0.92,5.33,15.23,8.26,13.17,
B16_1BB,B,16,B16_1,1,NA,BB,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1BG,B,16,B16_1,1,NA,BG,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1BO,B,16,B16_1,1,NA,BO,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1BP,B,16,B16_1,1,NA,BP,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1GB,B,16,B16_1,1,NA,GB,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1GG,B,16,B16_1,1,NA,GG,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1GO,B,16,B16_1,1,NA,GO,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1GP,B,16,B16_1,1,NA,GP,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1OB,B,16,B16_1,1,NA,OB,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1OG,B,16,B16_1,1,NA,OG,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1OO,B,16,B16_1,1,NA,OO,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1OP,B,16,B16_1,1,NA,OP,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1PB,B,16,B16_1,1,NA,PB,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1PG,B,16,B16_1,1,NA,PG,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1PO,B,16,B16_1,1,NA,PO,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_1PP,B,16,B16_1,1,NA,PP,NA,lastframe,0,NA,NA,NA,[],[],[],[],[],
B16_2BB,B,16,B16_2,1,NA,BB,NA,lastframe,0,NA,0,NA,1.02,5.66,18.04,8.69,15.04,
B16_2BG,B,16,B16_2,1,NA,BG,NA,lastframe,0,NA,0,NA,0.86,5.71,18.89,11.47,16.40,
B16_2BO,B,16,B16_2,1,NA,BO,NA,lastframe,0,NA,0,NA,0.86,5.72,19.89,11.79,17.20,
B16_2BP,B,16,B16_2,1,NA,BP,NA,lastframe,0,NA,0,NA,0.90,5.66,18.49,10.09,15.83,
B16_2GB,B,16,B16_2,1,NA,GB,NA,lastframe,0,NA,0,NA,0.92,5.62,18.40,10.11,15.31,
B16_2GG,B,16,B16_2,1,NA,GG,NA,lastframe,0,NA,0,NA,0.89,5.61,19.18,11.53,16.35,
B16_2GO,B,16,B16_2,1,NA,GO,NA,lastframe,0,NA,0,NA,0.86,5.74,19.46,11.02,16.64,
B16_2GP,B,16,B16_2,1,NA,GP,NA,lastframe,0,NA,0,NA,1.01,5.66,18.23,8.14,15.04,
B16_2OB,B,16,B16_2,1,NA,OB,NA,lastframe,0,NA,0,NA,0.88,5.69,18.89,10.81,16.39,
B16_2OG,B,16,B16_2,1,NA,OG,30,4127,1,NA,0,NA,0.95,5.61,18.43,9.37,15.25,
B16_2OO,B,16,B16_2,1,NA,OO,NA,lastframe,0,NA,0,NA,0.94,5.65,18.48,9.67,15.80,
B16_2OP,B,16,B16_2,1,NA,OP,36,5087,1,NA,0,NA,0.92,5.58,17.61,9.22,14.68,
B16_2PB,B,16,B16_2,1,NA,PB,NA,lastframe,0,NA,0,NA,0.99,5.47,18.14,8.35,14.80,
B16_2PG,B,16,B16_2,1,NA,PG,NA,lastframe,0,NA,0,NA,0.88,5.71,20.07,11.88,17.04,
B16_2PO,B,16,B16_2,1,NA,PO,NA,lastframe,0,NA,0,NA,0.94,5.66,19.12,10.42,16.44,
B16_2PP,B,16,B16_2,1,NA,PP,33,4608,1,NA,0,NA,1.11,5.54,17.51,7.98,14.33,
B16_3BB,B,16,B16_3,1,NA,BB,NA,lastframe,0,NA,0,NA,0.85,5.48,19.45,11.33,15.89,
B16_3BG,B,16,B16_3,1,NA,BG,NA,lastframe,0,NA,0,NA,0.89,5.64,19.80,12.36,17.17,
B16_3BO,B,16,B16_3,1,NA,BO,NA,lastframe,0,NA,0,NA,0.83,5.61,18.79,11.10,15.67,
B16_3BP,B,16,B16_3,1,NA,BP,NA,lastframe,0,NA,0,NA,0.95,5.43,18.37,9.68,14.91,
B16_3GB,B,16,B16_3,1,NA,GB,NA,lastframe,0,NA,0,NA,0.91,5.61,18.90,10.74,15.79,
B16_3GG,B,16,B16_3,1,NA,GG,12,1473,1,NA,0,NA,0.97,5.50,18.52,9.65,14.90,
B16_3GO,B,16,B16_3,1,NA,GO,NA,lastframe,0,NA,0,NA,0.87,5.47,18.23,10.18,14.76,
B16_3GP,B,16,B16_3,1,NA,GP,NA,lastframe,0,NA,0,NA,0.87,5.67,20.31,12.03,17.35,
B16_3OB,B,16,B16_3,1,NA,OB,NA,lastframe,0,NA,0,NA,1.04,5.28,17.33,8.07,12.94,
B16_3OG,B,16,B16_3,1,NA,OG,30,4127,1,NA,0,NA,0.97,5.21,17.47,8.84,13.01,
B16_3OO,B,16,B16_3,1,NA,OO,NA,lastframe,0,NA,0,NA,0.96,5.40,17.98,8.87,14.83,
B16_3OP,B,16,B16_3,1,NA,OP,NA,lastframe,0,NA,0,NA,0.90,5.67,19.07,11.19,15.98,
B16_3PB,B,16,B16_3,1,NA,PB,NA,lastframe,0,NA,0,NA,0.93,5.50,18.18,10.09,15.11,
B16_3PG,B,16,B16_3,1,NA,PG,15,1977,1,NA,0,NA,1.01,5.68,22.82,12.03,19.22,
B16_3PO,B,16,B16_3,1,NA,PO,NA,lastframe,0,NA,0,NA,0.93,5.36,17.67,8.73,13.49,
B16_3PP,B,16,B16_3,1,NA,PP,NA,lastframe,0,NA,0,NA,0.86,5.65,19.25,11.88,16.55,
B16_4BB,B,16,B16_4,1,NA,BB,NA,lastframe,0,NA,0,NA,0.92,5.66,18.01,10.87,15.98,
B16_4BG,B,16,B16_4,1,NA,BG,NA,lastframe,0,NA,0,NA,0.98,5.33,16.89,8.47,13.42,
B16_4BO,B,16,B16_4,1,NA,BO,NA,lastframe,0,NA,0,NA,0.91,5.67,18.73,11.14,15.89,
B16_4BP,B,16,B16_4,1,NA,BP,21,2698,1,NA,0,NA,0.96,5.58,17.74,11.09,15.75,
B16_4GB,B,16,B16_4,1,NA,GB,NA,lastframe,0,NA,0,NA,0.88,5.39,17.52,10.03,14.72,
B16_4GG,B,16,B16_4,1,NA,GG,27,3655,1,NA,0,NA,0.85,5.72,19.25,12.28,17.15,
B16_4GO,B,16,B16_4,1,NA,GO,NA,lastframe,0,NA,0,NA,1.00,5.48,17.10,9.21,14.36,
B16_4GP,B,16,B16_4,1,NA,GP,33,4608,1,NA,0,NA,0.89,5.68,18.39,11.37,16.58,
